============================================================================================
DEGREE-6 DENOISED  --  threshold tau = 0.4   (10 repeats per graph)
============================================================================================
Generated: 2026-07-01T10:46:57
Benchmark: 50 random 6-regular graphs on 20 nodes (seed = graph index)
MERGE(tau=0.4) repeated 10 times per graph (np seed = repeat index);
NO-MERGE is deterministic (no quantum step), shown for reference.

graph  optimal   NOMERGE   MG_mean   MG_std   MG_min   MG_max MG_mean_r   exact/N
    0     44.0   42.0000   43.0000   0.0000  43.0000  43.0000    0.9773       0/10
    1     48.0   46.0000   42.0000   0.0000  42.0000  42.0000    0.8750       0/10
    2     44.0   44.0000   44.0000   0.0000  44.0000  44.0000    1.0000      10/10
    3     44.0   42.0000   43.4000   0.9165  42.0000  44.0000    0.9864       7/10
    4     48.0   44.0000   41.6000   0.8000  40.0000  42.0000    0.8667       0/10
    5     44.0   44.0000   44.0000   0.0000  44.0000  44.0000    1.0000      10/10
    6     46.0   46.0000   46.0000   0.0000  46.0000  46.0000    1.0000      10/10
    7     48.0   46.0000   45.8000   0.6000  44.0000  46.0000    0.9542       0/10
    8     48.0   46.0000   43.0000   1.3416  42.0000  46.0000    0.8958       0/10
    9     44.0   44.0000   43.0000   1.0000  42.0000  44.0000    0.9773       5/10
   10     46.0   46.0000   45.9333   0.2000  45.3333  46.0000    0.9986       9/10
   11     44.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10
   12     44.0   40.0000   43.8000   0.6000  42.0000  44.0000    0.9955       9/10
   13     44.0   42.0000   40.4000   0.8000  40.0000  42.0000    0.9182       0/10
   14     46.0   44.0000   43.2000   0.9798  42.0000  44.0000    0.9391       0/10
   15     44.0   44.0000   41.6000   0.8000  40.0000  42.0000    0.9455       0/10
   16     46.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9130       0/10
   17     48.0   48.0000   45.3333   1.1547  44.0000  47.3333    0.9444       0/10
   18     46.0   46.0000   45.6000   1.2000  42.0000  46.0000    0.9913       9/10
   19     48.0   46.0000   46.0000   0.0000  46.0000  46.0000    0.9583       0/10
   20     44.0   42.0000   44.0000   0.0000  44.0000  44.0000    1.0000      10/10
   21     46.0   42.0000   43.4000   1.2806  42.0000  46.0000    0.9435       1/10
   22     44.0   44.0000   44.0000   0.0000  44.0000  44.0000    1.0000      10/10
   23     44.0   44.0000   44.0000   0.0000  44.0000  44.0000    1.0000      10/10
   24     46.0   44.0000   42.0000   0.0000  42.0000  42.0000    0.9130       0/10
   25     46.0   46.0000   46.0000   0.0000  46.0000  46.0000    1.0000      10/10
   26     44.0   44.0000   43.8000   0.6000  42.0000  44.0000    0.9955       9/10
   27     44.0   42.0000   43.0000   1.0000  42.0000  44.0000    0.9773       5/10
   28     44.0   44.0000   43.6000   0.8000  42.0000  44.0000    0.9909       8/10
   29     44.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10
   30     48.0   44.0000   46.0000   0.0000  46.0000  46.0000    0.9583       0/10
   31     46.0   44.0000   45.4000   0.9165  44.0000  46.0000    0.9870       7/10
   32     46.0   46.0000   44.8000   1.3266  42.0000  46.0000    0.9739       5/10
   33     44.0   42.0000   42.2000   0.6000  42.0000  44.0000    0.9591       1/10
   34     46.0   44.0000   44.0000   0.0000  44.0000  44.0000    0.9565       0/10
   35     46.0   44.0000   43.4000   0.9165  42.0000  44.0000    0.9435       0/10
   36     46.0   44.0000   40.8000   0.9798  40.0000  42.0000    0.8870       0/10
   37     46.0   44.0000   43.8000   0.6000  42.0000  44.0000    0.9522       0/10
   38     46.0   46.0000   46.0000   0.0000  46.0000  46.0000    1.0000      10/10
   39     46.0   42.0000   44.0000   0.0000  44.0000  44.0000    0.9565       0/10
   40     44.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10
   41     46.0   44.0000   44.0000   0.0000  44.0000  44.0000    0.9565       0/10
   42     44.0   44.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10
   43     44.0   42.0000   40.2000   0.6000  40.0000  42.0000    0.9136       0/10
   44     44.0   42.0000   41.4000   1.2806  38.0000  42.0000    0.9409       0/10
   45     44.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10
   46     46.0   44.0000   43.0000   1.0000  42.0000  44.0000    0.9348       0/10
   47     44.0   44.0000   40.0000   0.0000  40.0000  40.0000    0.9091       0/10
   48     46.0   46.0000   46.0000   0.0000  46.0000  46.0000    1.0000      10/10
   49     44.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10

mean over graphs:  MERGE mean-ratio = 0.95826   best-of-10 ratio = 0.96872
============================================================================================
