============================================================================================
DEGREE-6 DENOISED  --  threshold tau = 0.3   (10 repeats per graph)
============================================================================================
Generated: 2026-07-01T10:46:57
Benchmark: 50 random 6-regular graphs on 20 nodes (seed = graph index)
MERGE(tau=0.3) repeated 10 times per graph (np seed = repeat index);
NO-MERGE is deterministic (no quantum step), shown for reference.

graph  optimal   NOMERGE   MG_mean   MG_std   MG_min   MG_max MG_mean_r   exact/N
    0     44.0   42.0000   44.0000   0.0000  44.0000  44.0000    1.0000      10/10
    1     48.0   46.0000   42.0000   0.0000  42.0000  42.0000    0.8750       0/10
    2     44.0   44.0000   44.0000   0.0000  44.0000  44.0000    1.0000      10/10
    3     44.0   42.0000   44.0000   0.0000  44.0000  44.0000    1.0000      10/10
    4     48.0   44.0000   41.6000   1.9596  40.0000  44.0000    0.8667       0/10
    5     44.0   44.0000   42.6000   0.9165  42.0000  44.0000    0.9682       3/10
    6     46.0   46.0000   45.2000   1.6000  42.0000  46.0000    0.9826       8/10
    7     48.0   46.0000   46.0000   0.0000  46.0000  46.0000    0.9583       0/10
    8     48.0   46.0000   43.4000   2.0100  40.0000  46.0000    0.9042       0/10
    9     44.0   44.0000   43.8000   0.6000  42.0000  44.0000    0.9955       9/10
   10     46.0   46.0000   45.8000   0.6000  44.0000  46.0000    0.9957       9/10
   11     44.0   42.0000   40.6000   0.9165  40.0000  42.0000    0.9227       0/10
   12     44.0   40.0000   44.0000   0.0000  44.0000  44.0000    1.0000      10/10
   13     44.0   42.0000   40.6000   0.9165  40.0000  42.0000    0.9227       0/10
   14     46.0   44.0000   40.8000   2.4000  38.0000  44.0000    0.8870       0/10
   15     44.0   44.0000   40.8000   0.9798  40.0000  42.0000    0.9273       0/10
   16     46.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9130       0/10
   17     48.0   48.0000   46.0000   0.0000  46.0000  46.0000    0.9583       0/10
   18     46.0   46.0000   42.0000   0.0000  42.0000  42.0000    0.9130       0/10
   19     48.0   46.0000   46.0000   0.0000  46.0000  46.0000    0.9583       0/10
   20     44.0   42.0000   44.0000   0.0000  44.0000  44.0000    1.0000      10/10
   21     46.0   42.0000   44.0000   1.2649  42.0000  46.0000    0.9565       2/10
   22     44.0   44.0000   42.2000   0.6000  42.0000  44.0000    0.9591       1/10
   23     44.0   44.0000   44.0000   0.0000  44.0000  44.0000    1.0000      10/10
   24     46.0   44.0000   42.0000   0.0000  42.0000  42.0000    0.9130       0/10
   25     46.0   46.0000   45.2000   0.9798  44.0000  46.0000    0.9826       6/10
   26     44.0   44.0000   43.8000   0.6000  42.0000  44.0000    0.9955       9/10
   27     44.0   42.0000   42.6000   0.9165  42.0000  44.0000    0.9682       3/10
   28     44.0   44.0000   43.4000   0.9165  42.0000  44.0000    0.9864       7/10
   29     44.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10
   30     48.0   44.0000   46.0000   0.0000  46.0000  46.0000    0.9583       0/10
   31     46.0   44.0000   44.0000   0.0000  44.0000  44.0000    0.9565       0/10
   32     46.0   46.0000   43.2000   1.8330  42.0000  46.0000    0.9391       3/10
   33     44.0   42.0000   43.6000   0.8000  42.0000  44.0000    0.9909       8/10
   34     46.0   44.0000   43.4000   0.9165  42.0000  44.0000    0.9435       0/10
   35     46.0   44.0000   41.6000   1.7436  40.0000  44.0000    0.9043       0/10
   36     46.0   44.0000   40.0000   0.0000  40.0000  40.0000    0.8696       0/10
   37     46.0   44.0000   42.0000   0.0000  42.0000  42.0000    0.9130       0/10
   38     46.0   46.0000   45.8000   0.6000  44.0000  46.0000    0.9957       9/10
   39     46.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9130       0/10
   40     44.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10
   41     46.0   44.0000   44.0000   0.0000  44.0000  44.0000    0.9565       0/10
   42     44.0   44.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10
   43     44.0   42.0000   40.0000   0.0000  40.0000  40.0000    0.9091       0/10
   44     44.0   42.0000   39.2000   2.0396  38.0000  44.0000    0.8909       1/10
   45     44.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10
   46     46.0   44.0000   44.0000   0.0000  44.0000  44.0000    0.9565       0/10
   47     44.0   44.0000   40.4000   0.8000  40.0000  42.0000    0.9182       0/10
   48     46.0   46.0000   44.0000   0.0000  44.0000  44.0000    0.9565       0/10
   49     44.0   42.0000   42.8000   0.9798  42.0000  44.0000    0.9727       4/10

mean over graphs:  MERGE mean-ratio = 0.94945   best-of-10 ratio = 0.96518
============================================================================================
