============================================================================================
DEGREE-6 DENOISED  --  threshold tau = 0.2   (10 repeats per graph)
============================================================================================
Generated: 2026-07-01T10:46:57
Benchmark: 50 random 6-regular graphs on 20 nodes (seed = graph index)
MERGE(tau=0.2) repeated 10 times per graph (np seed = repeat index);
NO-MERGE is deterministic (no quantum step), shown for reference.

graph  optimal   NOMERGE   MG_mean   MG_std   MG_min   MG_max MG_mean_r   exact/N
    0     44.0   42.0000   42.2000   1.8868  40.0000  44.0000    0.9591       5/10
    1     48.0   46.0000   43.2000   2.5612  40.0000  46.0000    0.9000       0/10
    2     44.0   44.0000   44.0000   0.0000  44.0000  44.0000    1.0000      10/10
    3     44.0   42.0000   42.8000   0.9798  42.0000  44.0000    0.9727       4/10
    4     48.0   44.0000   41.8000   1.6613  40.0000  44.0000    0.8708       0/10
    5     44.0   44.0000   43.4000   1.2806  40.0000  44.0000    0.9864       8/10
    6     46.0   46.0000   45.2000   1.3266  42.0000  46.0000    0.9826       7/10
    7     48.0   46.0000   43.4000   1.5620  42.0000  46.0000    0.9042       0/10
    8     48.0   46.0000   41.2000   2.7129  38.0000  44.0000    0.8583       0/10
    9     44.0   44.0000   43.4000   0.9165  42.0000  44.0000    0.9864       7/10
   10     46.0   46.0000   43.8000   2.2716  40.0000  46.0000    0.9522       4/10
   11     44.0   42.0000   41.2000   1.8330  36.0000  42.0000    0.9364       0/10
   12     44.0   40.0000   43.0000   2.0494  38.0000  44.0000    0.9773       8/10
   13     44.0   42.0000   41.4000   1.2806  40.0000  44.0000    0.9409       1/10
   14     46.0   44.0000   38.4000   0.8000  38.0000  40.0000    0.8348       0/10
   15     44.0   44.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10
   16     46.0   42.0000   44.6000   2.2000  40.0000  46.0000    0.9696       7/10
   17     48.0   48.0000   44.0000   1.5492  42.0000  46.0000    0.9167       0/10
   18     46.0   46.0000   44.8000   0.9798  44.0000  46.0000    0.9739       4/10
   19     48.0   46.0000   46.2000   1.4000  44.0000  48.0000    0.9625       3/10
   20     44.0   42.0000   42.0000   2.0000  38.0000  44.0000    0.9545       4/10
   21     46.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9130       0/10
   22     44.0   44.0000   41.8000   0.6000  40.0000  42.0000    0.9500       0/10
   23     44.0   44.0000   42.4000   0.8000  42.0000  44.0000    0.9636       2/10
   24     46.0   44.0000   43.2000   1.8330  42.0000  46.0000    0.9391       3/10
   25     46.0   46.0000   43.0000   1.0000  42.0000  44.0000    0.9348       0/10
   26     44.0   44.0000   42.8000   1.3266  40.0000  44.0000    0.9727       5/10
   27     44.0   42.0000   44.0000   0.0000  44.0000  44.0000    1.0000      10/10
   28     44.0   44.0000   42.2000   1.0770  40.0000  44.0000    0.9591       2/10
   29     44.0   42.0000   40.8000   0.9798  40.0000  42.0000    0.9273       0/10
   30     48.0   44.0000   44.4000   1.9596  42.0000  46.0000    0.9250       0/10
   31     46.0   44.0000   44.0000   0.0000  44.0000  44.0000    0.9565       0/10
   32     46.0   46.0000   43.4000   1.5620  40.0000  46.0000    0.9435       1/10
   33     44.0   42.0000   41.8000   0.6000  40.0000  42.0000    0.9500       0/10
   34     46.0   44.0000   42.0000   0.0000  42.0000  42.0000    0.9130       0/10
   35     46.0   44.0000   41.8000   1.6613  40.0000  46.0000    0.9087       1/10
   36     46.0   44.0000   44.2000   2.2716  40.0000  46.0000    0.9609       5/10
   37     46.0   44.0000   41.8000   0.6000  40.0000  42.0000    0.9087       0/10
   38     46.0   46.0000   46.0000   0.0000  46.0000  46.0000    1.0000      10/10
   39     46.0   42.0000   42.6000   2.2000  38.0000  46.0000    0.9261       2/10
   40     44.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10
   41     46.0   44.0000   43.4000   0.9165  42.0000  44.0000    0.9435       0/10
   42     44.0   44.0000   41.8000   0.6000  40.0000  42.0000    0.9500       0/10
   43     44.0   42.0000   41.2000   1.6000  40.0000  44.0000    0.9364       2/10
   44     44.0   42.0000   40.6000   1.2806  38.0000  42.0000    0.9227       0/10
   45     44.0   42.0000   40.2000   0.6000  40.0000  42.0000    0.9136       0/10
   46     46.0   44.0000   42.8000   1.3266  40.0000  44.0000    0.9304       0/10
   47     44.0   44.0000   40.2000   0.6000  40.0000  42.0000    0.9136       0/10
   48     46.0   46.0000   44.0000   1.2649  42.0000  46.0000    0.9565       2/10
   49     44.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10

mean over graphs:  MERGE mean-ratio = 0.94243   best-of-10 ratio = 0.97203
============================================================================================
